Date,Close
2/11/2014,74.80
2/12/2014,74.96
2/13/2014,75.36
2/14/2014,75.79
2/18/2014,75.33
2/19/2014,74.85
2/20/2014,73.52
2/21/2014,73.12
2/24/2014,73.35
2/25/2014,73.35
2/26/2014,74.78
2/27/2014,74.56
2/28/2014,74.70
3/3/2014,74.12
3/4/2014,75.13
3/5/2014,74.80
3/6/2014,74.88
3/7/2014,74.58
3/10/2014,74.43
3/11/2014,74.92
3/12/2014,75.53
3/13/2014,74.93
3/14/2014,74.28
3/17/2014,74.68
3/18/2014,74.77
3/19/2014,74.38
3/20/2014,75.38
3/21/2014,76.10
3/24/2014,76.76
3/25/2014,76.87
3/26/2014,76.23
3/27/2014,76.14
3/28/2014,76.01
3/31/2014,76.43
4/1/2014,76.77
4/2/2014,77.18
4/3/2014,77.46
4/4/2014,77.31
4/7/2014,77.31
4/8/2014,78.18
4/9/2014,77.97
4/10/2014,76.89
4/11/2014,76.50
4/14/2014,77.38
4/15/2014,76.88
4/16/2014,77.22
4/17/2014,77.66
4/21/2014,77.60
4/22/2014,77.56
4/23/2014,78.04
4/24/2014,78.31
4/25/2014,78.62
4/28/2014,79.76
4/29/2014,79.67
4/30/2014,79.71
5/1/2014,79.70
5/2/2014,79.12
5/5/2014,78.62
5/6/2014,78.01
5/7/2014,77.96
5/8/2014,78.69
5/9/2014,79.20
5/12/2014,79.15
5/13/2014,79.14
5/14/2014,78.74
5/15/2014,76.83
5/16/2014,77.01
5/19/2014,76.61
5/20/2014,75.69
5/21/2014,75.66
5/22/2014,75.39
5/23/2014,75.61
5/27/2014,75.59
5/28/2014,75.53
5/29/2014,75.98
5/30/2014,76.77
6/2/2014,76.76
6/3/2014,76.71
6/4/2014,77.13
6/5/2014,77.32
6/6/2014,77.21
6/9/2014,77.01
6/10/2014,76.62
6/11/2014,76.16
6/12/2014,75.73
6/13/2014,75.28
6/16/2014,75.34
6/17/2014,74.99
6/18/2014,75.70
6/19/2014,75.87
6/20/2014,75.68
6/23/2014,75.79
6/24/2014,75.97
6/25/2014,75.62
